Timestamp, Temperature[°C], Humidity[%]
2023_06_27_10_52_35, 25.91, 54.15
2023_06_27_10_52_37, 25.92, 54.24
2023_06_27_10_52_39, 25.94, 54.23
2023_06_27_10_52_41, 25.94, 54.18
2023_06_27_10_52_44, 25.94, 54.20
2023_06_27_10_52_46, 25.91, 54.26
2023_06_27_10_52_48, 25.92, 54.35
2023_06_27_10_52_50, 25.98, 54.34
2023_06_27_10_52_52, 25.99, 54.24
2023_06_27_10_52_54, 26.06, 54.12
2023_06_27_10_52_56, 26.11, 54.03
2023_06_27_10_52_58, 26.09, 53.90
2023_06_27_10_53_00, 26.08, 53.75
2023_06_27_10_53_02, 26.06, 53.66
2023_06_27_10_53_04, 26.08, 53.69
2023_06_27_10_53_06, 26.12, 54.22
2023_06_27_10_53_08, 26.14, 54.28
2023_06_27_10_53_10, 26.14, 54.15
2023_06_27_10_53_12, 26.09, 54.12
2023_06_27_10_53_14, 26.06, 54.11
2023_06_27_10_53_16, 26.12, 54.07
2023_06_27_10_53_18, 26.11, 54.02
2023_06_27_10_53_20, 26.16, 53.96
2023_06_27_10_53_22, 26.18, 53.78
2023_06_27_10_53_24, 26.24, 53.73
2023_06_27_10_53_26, 26.28, 53.70
2023_06_27_10_53_28, 26.26, 53.59
2023_06_27_10_53_30, 26.28, 53.59
2023_06_27_10_53_32, 26.28, 53.48
2023_06_27_10_53_34, 26.28, 53.34
2023_06_27_10_53_36, 26.24, 53.07
2023_06_27_10_53_38, 26.25, 53.23
2023_06_27_10_53_40, 26.22, 53.42
2023_06_27_10_53_42, 26.16, 53.61
2023_06_27_10_53_44, 26.15, 53.66
2023_06_27_10_53_46, 26.14, 53.76
2023_06_27_10_53_48, 26.11, 53.73
2023_06_27_10_53_50, 26.15, 53.65
2023_06_27_10_53_52, 26.11, 53.75
2023_06_27_10_53_54, 26.05, 53.84
2023_06_27_10_53_57, 26.05, 53.84
2023_06_27_10_53_59, 26.01, 53.89
2023_06_27_10_54_01, 26.02, 53.92
2023_06_27_10_54_03, 25.99, 53.98
2023_06_27_10_54_05, 25.98, 53.96
2023_06_27_10_54_07, 26.01, 53.89
2023_06_27_10_54_09, 25.99, 53.83
2023_06_27_10_54_11, 26.01, 53.86
2023_06_27_10_54_13, 25.98, 53.89
2023_06_27_10_54_15, 25.99, 53.93
2023_06_27_10_54_17, 25.99, 53.97
2023_06_27_10_54_19, 25.99, 53.97
