Timestamp, Temperature[°C], Humidity[%]
2023_06_29_11_46_05, 24.03, 48.11
2023_06_29_11_46_07, 24.04, 48.15
2023_06_29_11_46_09, 24.04, 48.14
2023_06_29_11_46_11, 24.01, 48.16
2023_06_29_11_46_13, 24.04, 48.18
2023_06_29_11_46_15, 24.00, 48.14
2023_06_29_11_46_17, 24.03, 48.10
2023_06_29_11_46_19, 24.03, 48.14
2023_06_29_11_46_21, 24.03, 48.08
2023_06_29_11_46_23, 24.04, 48.08
2023_06_29_11_46_25, 24.05, 48.15
2023_06_29_11_46_27, 24.05, 48.09
2023_06_29_11_46_29, 24.04, 48.09
2023_06_29_11_46_31, 24.03, 48.11
2023_06_29_11_46_33, 24.01, 48.04
2023_06_29_11_46_35, 24.03, 48.11
2023_06_29_11_46_37, 24.01, 48.11
2023_06_29_11_46_39, 24.01, 48.14
2023_06_29_11_46_41, 24.00, 48.14
2023_06_29_11_46_43, 24.00, 48.14
2023_06_29_11_46_45, 24.03, 48.18
2023_06_29_11_46_47, 24.01, 48.15
2023_06_29_11_46_49, 24.03, 48.14
2023_06_29_11_46_51, 24.07, 48.15
2023_06_29_11_46_53, 24.08, 48.12
2023_06_29_11_46_55, 24.10, 48.10
2023_06_29_11_46_57, 24.10, 48.05
2023_06_29_11_46_59, 24.10, 48.04
2023_06_29_11_47_01, 24.11, 47.99
2023_06_29_11_47_03, 24.14, 47.94
2023_06_29_11_47_05, 24.11, 47.90
2023_06_29_11_47_07, 24.10, 47.93
2023_06_29_11_47_09, 24.14, 47.89
2023_06_29_11_47_11, 24.18, 47.88
2023_06_29_11_47_13, 24.21, 47.84
2023_06_29_11_47_15, 24.18, 47.77
2023_06_29_11_47_17, 24.20, 47.76
2023_06_29_11_47_20, 24.23, 47.86
2023_06_29_11_47_22, 24.21, 47.80
2023_06_29_11_47_24, 24.20, 47.79
2023_06_29_11_47_26, 24.20, 47.72
2023_06_29_11_47_28, 24.20, 47.72
2023_06_29_11_47_30, 24.20, 47.72
2023_06_29_11_47_32, 24.18, 47.76
2023_06_29_11_47_34, 24.18, 47.72
2023_06_29_11_47_36, 24.17, 47.71
2023_06_29_11_47_38, 24.17, 47.75
2023_06_29_11_47_40, 24.23, 48.08
2023_06_29_11_47_42, 24.24, 48.08
2023_06_29_11_47_44, 24.30, 48.29
2023_06_29_11_47_46, 24.36, 48.61
2023_06_29_11_47_48, 24.35, 48.32
2023_06_29_11_47_50, 24.34, 47.99
