Timestamp, Temperature[°C], Humidity[%]
2023_06_30_12_04_03, 25.20, 58.05
2023_06_30_12_04_05, 25.19, 58.02
2023_06_30_12_04_07, 25.23, 57.93
2023_06_30_12_04_09, 25.24, 57.86
2023_06_30_12_04_11, 25.23, 57.87
2023_06_30_12_04_13, 25.27, 57.83
2023_06_30_12_04_15, 25.24, 57.78
2023_06_30_12_04_17, 25.27, 57.77
2023_06_30_12_04_19, 25.26, 57.72
2023_06_30_12_04_21, 25.26, 57.75
2023_06_30_12_04_23, 25.23, 57.78
2023_06_30_12_04_25, 25.22, 57.83
2023_06_30_12_04_27, 25.26, 57.85
2023_06_30_12_04_29, 25.29, 57.79
2023_06_30_12_04_31, 25.32, 57.71
2023_06_30_12_04_33, 25.30, 57.66
2023_06_30_12_04_35, 25.27, 57.67
2023_06_30_12_04_37, 25.27, 57.68
2023_06_30_12_04_39, 25.27, 57.67
2023_06_30_12_04_41, 25.23, 57.72
2023_06_30_12_04_43, 25.23, 57.75
2023_06_30_12_04_45, 25.23, 57.81
2023_06_30_12_04_47, 25.24, 57.84
2023_06_30_12_04_49, 25.24, 57.87
2023_06_30_12_04_51, 25.23, 57.85
2023_06_30_12_04_53, 25.23, 57.88
2023_06_30_12_04_55, 25.20, 57.85
2023_06_30_12_04_58, 25.20, 57.88
2023_06_30_12_05_00, 25.22, 57.93
2023_06_30_12_05_02, 25.20, 57.91
2023_06_30_12_05_04, 25.22, 57.94
2023_06_30_12_05_06, 25.24, 57.96
2023_06_30_12_05_08, 25.26, 57.95
2023_06_30_12_05_10, 25.23, 57.88
2023_06_30_12_05_12, 25.23, 57.93
2023_06_30_12_05_14, 25.19, 57.95
2023_06_30_12_05_16, 25.16, 57.99
2023_06_30_12_05_18, 25.16, 58.04
2023_06_30_12_05_20, 25.19, 58.05
2023_06_30_12_05_22, 25.17, 58.06
2023_06_30_12_05_24, 25.16, 58.12
2023_06_30_12_05_26, 25.19, 58.09
2023_06_30_12_05_28, 25.17, 58.10
2023_06_30_12_05_30, 25.19, 58.07
2023_06_30_12_05_32, 25.23, 58.04
2023_06_30_12_05_34, 25.22, 58.00
2023_06_30_12_05_36, 25.19, 57.95
2023_06_30_12_05_38, 25.17, 58.00
2023_06_30_12_05_40, 25.16, 58.05
2023_06_30_12_05_42, 25.20, 58.04
2023_06_30_12_05_44, 25.23, 58.02
2023_06_30_12_05_46, 25.19, 58.02
2023_06_30_12_05_48, 25.17, 58.01
2023_06_30_12_05_50, 25.13, 58.09
2023_06_30_12_05_52, 25.10, 58.14
2023_06_30_12_05_54, 25.10, 58.20
2023_06_30_12_05_56, 25.07, 58.22
2023_06_30_12_05_58, 25.13, 58.24
2023_06_30_12_06_00, 25.16, 58.20
2023_06_30_12_06_02, 25.14, 58.18
2023_06_30_12_06_04, 25.12, 58.20
2023_06_30_12_06_06, 25.12, 58.29
2023_06_30_12_06_08, 25.07, 58.32
2023_06_30_12_06_10, 25.06, 58.33
2023_06_30_12_06_12, 25.06, 58.30
