Timestamp, Temperature[°C], Humidity[%]
2023_06_30_10_44_12, 24.85, 57.91
2023_06_30_10_44_14, 24.85, 57.92
2023_06_30_10_44_16, 24.79, 57.88
2023_06_30_10_44_18, 24.75, 57.95
2023_06_30_10_44_20, 24.71, 57.97
2023_06_30_10_44_22, 24.66, 58.06
2023_06_30_10_44_24, 24.68, 58.13
2023_06_30_10_44_26, 24.68, 58.17
2023_06_30_10_44_28, 24.68, 58.24
2023_06_30_10_44_30, 24.68, 58.31
2023_06_30_10_44_32, 24.69, 58.34
2023_06_30_10_44_34, 24.68, 58.34
2023_06_30_10_44_36, 24.68, 58.38
2023_06_30_10_44_38, 24.69, 58.34
2023_06_30_10_44_40, 24.75, 58.36
2023_06_30_10_44_42, 24.79, 58.23
2023_06_30_10_44_44, 24.85, 58.18
2023_06_30_10_44_46, 24.86, 58.07
2023_06_30_10_44_48, 24.92, 57.94
2023_06_30_10_44_50, 24.89, 57.89
2023_06_30_10_44_52, 24.87, 57.79
2023_06_30_10_44_54, 24.83, 57.74
2023_06_30_10_44_56, 24.85, 57.77
2023_06_30_10_44_58, 24.87, 57.78
2023_06_30_10_45_00, 24.85, 57.77
2023_06_30_10_45_02, 24.83, 57.77
2023_06_30_10_45_04, 24.82, 57.73
2023_06_30_10_45_06, 24.82, 57.80
2023_06_30_10_45_08, 24.79, 57.83
2023_06_30_10_45_10, 24.75, 57.85
2023_06_30_10_45_12, 24.74, 57.96
2023_06_30_10_45_14, 24.71, 58.00
2023_06_30_10_45_16, 24.68, 58.03
2023_06_30_10_45_18, 24.71, 58.12
2023_06_30_10_45_20, 24.68, 58.13
2023_06_30_10_45_22, 24.66, 58.15
2023_06_30_10_45_24, 24.66, 58.17
2023_06_30_10_45_26, 24.69, 58.18
2023_06_30_10_45_28, 24.65, 58.19
2023_06_30_10_45_30, 24.64, 58.25
2023_06_30_10_45_32, 24.66, 58.24
2023_06_30_10_45_34, 24.65, 58.22
2023_06_30_10_45_36, 24.68, 58.21
2023_06_30_10_45_39, 24.66, 58.23
2023_06_30_10_45_41, 24.66, 58.26
2023_06_30_10_45_43, 24.66, 58.25
2023_06_30_10_45_45, 24.65, 58.29
2023_06_30_10_45_47, 24.68, 58.26
2023_06_30_10_45_49, 24.69, 58.23
2023_06_30_10_45_51, 24.71, 58.19
2023_06_30_10_45_53, 24.74, 58.20
2023_06_30_10_45_55, 24.75, 58.16
2023_06_30_10_45_57, 24.78, 58.07
2023_06_30_10_45_59, 24.82, 58.06
2023_06_30_10_46_01, 24.82, 57.97
2023_06_30_10_46_03, 24.81, 57.99
2023_06_30_10_46_05, 24.81, 57.94
2023_06_30_10_46_07, 24.75, 57.87
2023_06_30_10_46_09, 24.71, 57.90
2023_06_30_10_46_11, 24.66, 57.92
2023_06_30_10_46_13, 24.65, 58.01
2023_06_30_10_46_15, 24.61, 58.12
2023_06_30_10_46_17, 24.56, 58.14
2023_06_30_10_46_19, 24.55, 58.25
2023_06_30_10_46_21, 24.54, 58.32
2023_06_30_10_46_23, 24.54, 58.37
