Timestamp, Temperature[°C], Humidity[%]
2023_07_04_11_37_11, 23.84, 60.79
2023_07_04_11_37_13, 23.84, 60.80
2023_07_04_11_37_15, 23.84, 60.80
2023_07_04_11_37_17, 23.87, 60.83
2023_07_04_11_37_19, 23.87, 60.78
2023_07_04_11_37_21, 23.84, 60.76
2023_07_04_11_37_23, 23.88, 60.74
2023_07_04_11_37_25, 23.87, 60.76
2023_07_04_11_37_27, 23.85, 60.78
2023_07_04_11_37_29, 23.84, 60.75
2023_07_04_11_37_31, 23.85, 60.78
2023_07_04_11_37_34, 23.85, 60.79
2023_07_04_11_37_36, 23.85, 60.75
2023_07_04_11_37_38, 23.87, 60.79
2023_07_04_11_37_40, 23.88, 60.81
2023_07_04_11_37_42, 23.90, 60.76
2023_07_04_11_37_44, 23.87, 60.74
2023_07_04_11_37_46, 23.88, 60.72
2023_07_04_11_37_48, 23.85, 60.74
2023_07_04_11_37_50, 23.88, 60.70
2023_07_04_11_37_52, 23.85, 60.73
2023_07_04_11_37_54, 23.85, 60.74
2023_07_04_11_37_56, 23.84, 60.77
2023_07_04_11_37_58, 23.84, 60.78
2023_07_04_11_38_00, 23.85, 60.80
2023_07_04_11_38_02, 23.84, 60.80
2023_07_04_11_38_04, 23.84, 60.89
2023_07_04_11_38_06, 23.84, 61.00
2023_07_04_11_38_08, 23.85, 61.20
2023_07_04_11_38_10, 23.87, 61.23
2023_07_04_11_38_12, 23.84, 61.10
2023_07_04_11_38_14, 23.87, 60.98
2023_07_04_11_38_16, 23.87, 60.86
2023_07_04_11_38_18, 23.91, 60.87
2023_07_04_11_38_20, 23.88, 60.81
2023_07_04_11_38_22, 23.87, 60.78
2023_07_04_11_38_24, 23.90, 60.73
2023_07_04_11_38_26, 23.91, 60.72
2023_07_04_11_38_28, 23.91, 60.74
2023_07_04_11_38_30, 23.91, 60.75
2023_07_04_11_38_32, 23.93, 60.69
2023_07_04_11_38_34, 23.94, 60.66
2023_07_04_11_38_36, 23.94, 60.62
