Timestamp, Temperature[°C], Humidity[%]
2023_07_04_10_29_03, 23.43, 61.83
2023_07_04_10_29_05, 23.42, 61.75
2023_07_04_10_29_07, 23.43, 61.72
2023_07_04_10_29_09, 23.43, 61.63
2023_07_04_10_29_11, 23.42, 61.55
2023_07_04_10_29_13, 23.39, 61.58
2023_07_04_10_29_15, 23.39, 61.58
2023_07_04_10_29_17, 23.39, 61.55
2023_07_04_10_29_19, 23.44, 61.65
2023_07_04_10_29_21, 23.46, 61.60
2023_07_04_10_29_23, 23.43, 61.60
2023_07_04_10_29_25, 23.47, 61.56
2023_07_04_10_29_27, 23.46, 61.51
2023_07_04_10_29_29, 23.40, 61.45
2023_07_04_10_29_31, 23.46, 61.48
2023_07_04_10_29_33, 23.44, 61.50
2023_07_04_10_29_35, 23.43, 61.47
2023_07_04_10_29_37, 23.39, 61.51
2023_07_04_10_29_39, 23.44, 61.50
2023_07_04_10_29_41, 23.42, 61.53
2023_07_04_10_29_43, 23.40, 61.54
2023_07_04_10_29_45, 23.43, 61.53
2023_07_04_10_29_47, 23.43, 61.55
2023_07_04_10_29_49, 23.42, 61.56
2023_07_04_10_29_51, 23.40, 61.55
2023_07_04_10_29_53, 23.40, 61.56
2023_07_04_10_29_55, 23.40, 61.57
2023_07_04_10_29_57, 23.42, 61.57
2023_07_04_10_29_59, 23.42, 61.55
2023_07_04_10_30_01, 23.42, 61.59
2023_07_04_10_30_03, 23.43, 61.58
2023_07_04_10_30_05, 23.44, 61.59
2023_07_04_10_30_07, 23.47, 61.56
2023_07_04_10_30_09, 23.49, 61.54
2023_07_04_10_30_11, 23.49, 61.51
2023_07_04_10_30_13, 23.52, 61.48
2023_07_04_10_30_15, 23.53, 61.44
2023_07_04_10_30_17, 23.54, 61.36
2023_07_04_10_30_19, 23.56, 61.34
2023_07_04_10_30_21, 23.60, 61.25
2023_07_04_10_30_23, 23.60, 61.22
2023_07_04_10_30_25, 23.60, 61.19
2023_07_04_10_30_27, 23.60, 61.17
2023_07_04_10_30_29, 23.59, 61.09
2023_07_04_10_30_31, 23.60, 61.05
2023_07_04_10_30_34, 23.59, 61.03
2023_07_04_10_30_36, 23.60, 61.02
2023_07_04_10_30_38, 23.63, 61.04
2023_07_04_10_30_40, 23.63, 61.02
2023_07_04_10_30_42, 23.66, 60.97
2023_07_04_10_30_44, 23.69, 61.01
2023_07_04_10_30_46, 23.70, 60.93
2023_07_04_10_30_48, 23.67, 60.89
2023_07_04_10_30_50, 23.64, 60.85
