Timestamp, Temperature[�C], Humidity[%]
2023_07_18_11_15_54, 26.36, 64.46
2023_07_18_11_15_56, 26.35, 64.48
2023_07_18_11_15_58, 26.34, 64.55
2023_07_18_11_16_00, 26.36, 65.06
2023_07_18_11_16_02, 26.35, 65.22
2023_07_18_11_16_04, 26.29, 65.17
2023_07_18_11_16_06, 26.29, 65.03
2023_07_18_11_16_08, 26.29, 64.90
2023_07_18_11_16_10, 26.25, 64.80
2023_07_18_11_16_12, 26.24, 64.76
2023_07_18_11_16_14, 26.24, 64.78
2023_07_18_11_16_16, 26.24, 64.80
2023_07_18_11_16_18, 26.24, 64.85
2023_07_18_11_16_20, 26.24, 64.90
2023_07_18_11_16_22, 26.28, 64.85
2023_07_18_11_16_24, 26.31, 64.82
2023_07_18_11_16_26, 26.28, 64.70
2023_07_18_11_16_28, 26.22, 64.71
2023_07_18_11_16_30, 26.24, 64.77
2023_07_18_11_16_32, 26.21, 64.73
2023_07_18_11_16_34, 26.21, 64.79
2023_07_18_11_16_36, 26.25, 64.80
2023_07_18_11_16_38, 26.26, 64.78
2023_07_18_11_16_40, 26.25, 64.68
2023_07_18_11_16_42, 26.22, 64.71
2023_07_18_11_16_44, 26.19, 64.66
2023_07_18_11_16_46, 26.16, 64.70
2023_07_18_11_16_48, 26.18, 64.70
2023_07_18_11_16_50, 26.16, 64.75
2023_07_18_11_16_52, 26.12, 64.85
2023_07_18_11_16_54, 26.15, 64.91
2023_07_18_11_16_56, 26.12, 64.99
2023_07_18_11_16_58, 26.12, 65.09
2023_07_18_11_17_00, 26.12, 65.10
2023_07_18_11_17_03, 26.11, 65.10
2023_07_18_11_17_05, 26.11, 65.16
2023_07_18_11_17_07, 26.14, 65.13
2023_07_18_11_17_09, 26.19, 65.06
2023_07_18_11_17_11, 26.15, 65.04
2023_07_18_11_17_13, 26.14, 65.10
2023_07_18_11_17_15, 26.14, 65.17
2023_07_18_11_17_17, 26.19, 65.14
2023_07_18_11_17_19, 26.16, 65.12
2023_07_18_11_17_21, 26.19, 65.04
2023_07_18_11_17_23, 26.22, 64.99
2023_07_18_11_17_25, 26.24, 64.97
2023_07_18_11_17_27, 26.26, 64.90
2023_07_18_11_17_29, 26.24, 64.89
2023_07_18_11_17_31, 26.24, 64.87
2023_07_18_11_17_33, 26.28, 64.79
2023_07_18_11_17_35, 26.32, 64.76
2023_07_18_11_17_37, 26.40, 64.68
2023_07_18_11_17_39, 26.40, 64.56
2023_07_18_11_17_41, 26.43, 64.48
2023_07_18_11_17_43, 26.43, 64.34
2023_07_18_11_17_45, 26.40, 64.16
2023_07_18_11_17_47, 26.38, 64.10
2023_07_18_11_17_49, 26.39, 64.25
2023_07_18_11_17_51, 26.38, 64.27
2023_07_18_11_17_53, 26.36, 64.03
2023_07_18_11_17_56, 26.36, 63.96
2023_07_18_11_17_58, 26.32, 64.04
2023_07_18_11_18_00, 26.34, 64.12
2023_07_18_11_18_02, 26.29, 64.24
2023_07_18_11_18_04, 26.34, 64.30
2023_07_18_11_18_06, 26.31, 64.32
2023_07_18_11_18_08, 26.31, 64.35
2023_07_18_11_18_10, 26.29, 64.39
2023_07_18_11_18_12, 26.26, 64.48
2023_07_18_11_18_14, 26.28, 64.52
2023_07_18_11_18_16, 26.28, 64.56
2023_07_18_11_18_18, 26.29, 64.56
2023_07_18_11_18_20, 26.31, 64.58
2023_07_18_11_18_22, 26.28, 64.62
2023_07_18_11_18_24, 26.32, 64.61
2023_07_18_11_18_26, 26.31, 64.54
2023_07_18_11_18_28, 26.31, 64.58
2023_07_18_11_18_30, 26.31, 64.61
2023_07_18_11_18_32, 26.28, 64.62
2023_07_18_11_18_34, 26.29, 64.68
2023_07_18_11_18_36, 26.28, 64.69
2023_07_18_11_18_38, 26.29, 64.69
2023_07_18_11_18_40, 26.28, 64.75
2023_07_18_11_18_42, 26.25, 64.70
2023_07_18_11_18_44, 26.26, 64.75
2023_07_18_11_18_46, 26.26, 64.80
2023_07_18_11_18_49, 26.24, 64.80
2023_07_18_11_18_51, 26.22, 64.84
2023_07_18_11_18_53, 26.22, 64.91
2023_07_18_11_18_55, 26.19, 64.90
2023_07_18_11_18_57, 26.24, 64.95
2023_07_18_11_18_59, 26.24, 64.92
2023_07_18_11_19_01, 26.21, 64.97
2023_07_18_11_19_03, 26.24, 64.94
2023_07_18_11_19_05, 26.24, 64.87
2023_07_18_11_19_07, 26.22, 64.87
2023_07_18_11_19_09, 26.22, 64.90
2023_07_18_11_19_11, 26.19, 64.94
2023_07_18_11_19_13, 26.22, 65.00
2023_07_18_11_19_15, 26.19, 65.02
2023_07_18_11_19_17, 26.18, 65.04
2023_07_18_11_19_19, 26.21, 65.08
2023_07_18_11_19_21, 26.24, 65.07
2023_07_18_11_19_23, 26.22, 65.06
2023_07_18_11_19_25, 26.22, 65.02
2023_07_18_11_19_27, 26.26, 65.01
2023_07_18_11_19_29, 26.22, 64.92
2023_07_18_11_19_31, 26.24, 64.95
2023_07_18_11_19_33, 26.24, 64.97
2023_07_18_11_19_35, 26.21, 65.01
