Timestamp, Temperature[�C], Humidity[%]
2023_07_18_10_36_16, 25.74, 64.17
2023_07_18_10_36_18, 25.77, 64.18
2023_07_18_10_36_20, 25.74, 64.18
2023_07_18_10_36_22, 25.74, 64.20
2023_07_18_10_36_24, 25.77, 64.19
2023_07_18_10_36_27, 25.78, 64.15
2023_07_18_10_36_29, 25.75, 64.10
2023_07_18_10_36_31, 25.74, 64.17
2023_07_18_10_36_33, 25.71, 64.12
2023_07_18_10_36_35, 25.61, 64.16
2023_07_18_10_36_37, 25.61, 64.28
2023_07_18_10_36_39, 25.58, 64.41
2023_07_18_10_36_41, 25.60, 64.54
2023_07_18_10_36_43, 25.60, 64.52
2023_07_18_10_36_45, 25.64, 64.54
2023_07_18_10_36_47, 25.63, 64.49
2023_07_18_10_36_49, 25.64, 64.46
2023_07_18_10_36_51, 25.71, 64.48
2023_07_18_10_36_53, 25.70, 64.42
2023_07_18_10_36_55, 25.74, 64.43
2023_07_18_10_36_57, 25.73, 64.35
2023_07_18_10_36_59, 25.74, 64.28
2023_07_18_10_37_01, 25.74, 64.22
2023_07_18_10_37_03, 25.71, 64.17
2023_07_18_10_37_05, 25.70, 64.16
2023_07_18_10_37_07, 25.70, 64.23
2023_07_18_10_37_09, 25.67, 64.25
2023_07_18_10_37_11, 25.70, 64.26
2023_07_18_10_37_13, 25.70, 64.36
2023_07_18_10_37_15, 25.68, 64.32
2023_07_18_10_37_17, 25.68, 64.42
2023_07_18_10_37_19, 25.68, 64.43
2023_07_18_10_37_21, 25.71, 64.47
2023_07_18_10_37_23, 25.75, 64.43
2023_07_18_10_37_25, 25.84, 64.47
2023_07_18_10_37_27, 25.85, 64.37
2023_07_18_10_37_29, 25.84, 64.25
2023_07_18_10_37_31, 25.81, 64.18
2023_07_18_10_37_33, 25.85, 64.14
2023_07_18_10_37_35, 25.84, 64.13
2023_07_18_10_37_37, 25.88, 64.07
2023_07_18_10_37_39, 25.89, 64.07
2023_07_18_10_37_41, 25.89, 64.02
2023_07_18_10_37_43, 25.89, 64.01
2023_07_18_10_37_45, 25.89, 63.93
2023_07_18_10_37_47, 25.89, 63.93
2023_07_18_10_37_49, 25.91, 63.94
2023_07_18_10_37_51, 25.94, 63.96
2023_07_18_10_37_53, 25.96, 63.94
2023_07_18_10_37_55, 25.95, 63.83
2023_07_18_10_37_57, 25.95, 63.76
2023_07_18_10_37_59, 26.01, 63.72
2023_07_18_10_38_01, 26.01, 63.65
2023_07_18_10_38_03, 26.01, 63.63
2023_07_18_10_38_05, 26.01, 63.61
2023_07_18_10_38_07, 26.01, 63.60
2023_07_18_10_38_09, 25.96, 63.60
2023_07_18_10_38_11, 25.92, 63.70
2023_07_18_10_38_13, 25.89, 63.74
2023_07_18_10_38_15, 25.87, 63.80
2023_07_18_10_38_17, 25.85, 63.83
2023_07_18_10_38_19, 25.83, 63.88
2023_07_18_10_38_21, 25.80, 63.96
2023_07_18_10_38_24, 25.78, 64.04
2023_07_18_10_38_26, 25.77, 64.11
2023_07_18_10_38_28, 25.78, 64.13
2023_07_18_10_38_30, 25.75, 64.19
2023_07_18_10_38_32, 25.77, 64.24
2023_07_18_10_38_34, 25.74, 64.23
2023_07_18_10_38_36, 25.71, 64.34
2023_07_18_10_38_38, 25.73, 64.33
2023_07_18_10_38_40, 25.74, 64.39
2023_07_18_10_38_42, 25.74, 64.39
2023_07_18_10_38_44, 25.74, 64.37
2023_07_18_10_38_46, 25.77, 64.37
2023_07_18_10_38_48, 25.74, 64.31
2023_07_18_10_38_50, 25.78, 64.33
2023_07_18_10_38_52, 25.75, 64.30
2023_07_18_10_38_54, 25.75, 64.32
2023_07_18_10_38_56, 25.75, 64.28
2023_07_18_10_38_58, 25.78, 64.31
2023_07_18_10_39_00, 25.77, 64.26
2023_07_18_10_39_02, 25.74, 64.26
2023_07_18_10_39_04, 25.77, 64.27
2023_07_18_10_39_06, 25.75, 64.28
2023_07_18_10_39_08, 25.74, 64.33
2023_07_18_10_39_10, 25.77, 64.34
2023_07_18_10_39_12, 25.77, 64.30
2023_07_18_10_39_14, 25.77, 64.28
2023_07_18_10_39_16, 25.83, 64.28
2023_07_18_10_39_18, 25.83, 64.26
2023_07_18_10_39_20, 25.85, 64.21
2023_07_18_10_39_22, 25.88, 64.14
2023_07_18_10_39_24, 25.89, 64.10
2023_07_18_10_39_26, 25.89, 64.02
2023_07_18_10_39_28, 25.91, 64.03
2023_07_18_10_39_30, 25.89, 63.99
2023_07_18_10_39_32, 25.88, 63.98
2023_07_18_10_39_34, 25.88, 63.94
2023_07_18_10_39_36, 25.87, 64.00
2023_07_18_10_39_38, 25.87, 64.01
2023_07_18_10_39_40, 25.91, 64.04
2023_07_18_10_39_42, 25.91, 64.00
2023_07_18_10_39_44, 25.95, 63.99
2023_07_18_10_39_46, 25.91, 63.95
2023_07_18_10_39_48, 25.95, 63.91
2023_07_18_10_39_50, 26.04, 63.91
2023_07_18_10_39_52, 26.08, 63.80
2023_07_18_10_39_54, 26.09, 63.71
2023_07_18_10_39_56, 26.08, 63.59
2023_07_18_10_39_58, 26.09, 63.50
2023_07_18_10_40_00, 26.09, 63.47
2023_07_18_10_40_03, 26.11, 63.44
2023_07_18_10_40_05, 26.09, 63.41
2023_07_18_10_40_07, 26.08, 63.37
2023_07_18_10_40_09, 26.11, 63.40
2023_07_18_10_40_11, 26.11, 63.36
2023_07_18_10_40_13, 26.06, 63.35
2023_07_18_10_40_15, 26.04, 63.35
2023_07_18_10_40_17, 26.02, 63.43
2023_07_18_10_40_19, 26.01, 63.49
2023_07_18_10_40_21, 26.01, 63.51
2023_07_18_10_40_23, 25.99, 63.55
2023_07_18_10_40_25, 25.99, 63.64
2023_07_18_10_40_27, 26.02, 63.69
2023_07_18_10_40_29, 26.02, 63.65
2023_07_18_10_40_31, 26.04, 63.68
2023_07_18_10_40_33, 25.98, 63.64
2023_07_18_10_40_35, 25.98, 63.70
2023_07_18_10_40_37, 25.96, 63.70
2023_07_18_10_40_39, 25.96, 63.76
2023_07_18_10_40_41, 25.95, 63.78
2023_07_18_10_40_43, 25.94, 63.82
2023_07_18_10_40_45, 25.94, 63.85
2023_07_18_10_40_47, 25.91, 63.86
2023_07_18_10_40_49, 25.94, 63.92
2023_07_18_10_40_51, 25.92, 63.96
2023_07_18_10_40_53, 25.98, 63.94
2023_07_18_10_40_55, 25.99, 63.89
2023_07_18_10_40_57, 25.92, 63.81
2023_07_18_10_40_59, 25.94, 63.83
2023_07_18_10_41_01, 25.94, 63.84
2023_07_18_10_41_03, 25.94, 63.81
2023_07_18_10_41_05, 25.91, 63.79
2023_07_18_10_41_07, 25.89, 63.81
2023_07_18_10_41_09, 25.94, 63.87
2023_07_18_10_41_11, 25.89, 63.87
2023_07_18_10_41_13, 25.92, 63.90
2023_07_18_10_41_15, 25.99, 63.87
2023_07_18_10_41_17, 25.96, 63.86
2023_07_18_10_41_19, 25.96, 63.81
2023_07_18_10_41_21, 25.98, 63.81
2023_07_18_10_41_23, 25.96, 63.78
2023_07_18_10_41_25, 25.98, 63.75
2023_07_18_10_41_27, 25.96, 63.74
2023_07_18_10_41_29, 25.98, 63.77
2023_07_18_10_41_31, 25.99, 63.77
2023_07_18_10_41_33, 25.99, 63.75
2023_07_18_10_41_35, 26.04, 63.77
2023_07_18_10_41_37, 26.11, 63.69
2023_07_18_10_41_39, 26.12, 63.61
2023_07_18_10_41_41, 26.11, 63.51
2023_07_18_10_41_43, 26.12, 63.38
2023_07_18_10_41_45, 26.11, 63.37
